Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
29,CeeDee Lamb\LambCe00,DAL,21,wr,4,4,29,21,309,14.7,2,14,43,5.3,77.3,72.4%,10.7,3,13,0,0,9,4.3,3.3,0.8,24,13.4,322,2,0
30,Tyreek Hill\HillTy00,KAN,26,wr,4,4,29,19,286,15.1,4,15,54,4.8,71.5,65.5%,9.9,3,34,0,1,22,11.3,8.5,0.8,22,14.5,320,4,1
31,Kareem Hunt\HuntKa00,CLE,25,,4,0,11,8,42,5.3,2,3,9,2.0,10.5,72.7%,3.8,50,275,3,16,33,5.5,68.8,12.5,58,5.5,317,5,1
32,Julian Edelman\EdelJu00,NWE,34,,4,0,30,18,294,16.3,0,16,49,4.5,73.5,60.0%,9.8,2,22,0,1,23,11.0,5.5,0.5,20,15.8,316,0,0
33,Cooper Kupp\KuppCo00,LAR,27,wr,4,3,28,23,297,12.9,2,15,55,5.8,74.3,82.1%,10.6,3,17,0,2,15,5.7,4.3,0.8,26,12.1,314,2,1
34,Miles Sanders\SandMi01,PHI,23,rb,3,3,19,9,78,8.7,0,3,28,3.0,26.0,47.4%,4.1,51,236,1,15,19,4.6,78.7,17.0,60,5.2,314,1,1
35,Odell Beckham Jr.\BeckOd00,CLE,28,wr,4,4,30,16,236,14.8,3,12,43,4.0,59.0,53.3%,7.9,2,73,1,2,50,36.5,18.3,0.5,18,17.2,309,4,0
36,Myles Gaskin\GaskMy00,MIA,23,rb,4,2,20,18,113,6.3,0,4,15,4.5,28.3,90.0%,5.7,48,192,0,13,15,4.0,48.0,12.0,66,4.6,305,0,0
37,Tyler Lockett\LockTy00,SEA,28,wr,4,4,33,26,298,11.5,4,15,43,6.5,74.5,78.8%,9.0,,,,0,,,,,26,11.5,298,4,0
38,David Johnson\JohnDa08,HOU,29,rb,4,4,14,9,100,11.1,0,5,20,2.3,25.0,64.3%,7.1,51,197,2,10,19,3.9,49.3,12.8,60,5.0,297,2,0
39,Travis Kelce\KelcTr00,KAN,31,te,4,4,34,24,297,12.4,2,17,45,6.0,74.3,70.6%,8.7,,,,0,,,,,24,12.4,297,2,0
40,Adam Thielen\ThieAd00,MIN,30,wr,4,4,31,20,284,14.2,4,12,39,5.0,71.0,64.5%,9.2,2,12,0,0,8,6.0,3.0,0.5,22,13.5,296,4,0
41,Jerick McKinnon\McKiJe00,SFO,28,rb,4,2,18,13,102,7.8,1,5,26,3.3,25.5,72.2%,5.7,34,193,3,7,55,5.7,48.3,8.5,47,6.3,295,4,0
42,Robert Woods\WoodRo02,LAR,28,wr,4,4,26,19,229,12.1,1,11,31,4.8,57.3,73.1%,8.8,8,65,1,3,15,8.1,16.3,2.0,27,10.9,294,2,1
43,D.J. Moore\MoorD.00,CAR,23,wr,4,4,32,18,288,16.0,0,15,38,4.5,72.0,56.3%,9.0,,,,0,,,,,18,16.0,288,0,0
44,James Conner\ConnJa00,PIT,25,rb,3,3,11,8,63,7.9,0,4,13,2.7,21.0,72.7%,5.7,40,224,2,10,59,5.6,74.7,13.3,48,6.0,287,2,0
