Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
144,Chase Edmonds\EdmoCh00,ARI,24,rb,4,1,17,13,73,5.6,2,6,15,3.3,18.3,76.5%,4.3,16,59,0,5,20,3.7,14.8,4.0,29,4.6,132,2,2
145,Evan Engram\EngrEv00,NYG,26,te,4,3,30,17,131,7.7,0,10,22,4.3,32.8,56.7%,4.4,,,,0,,,,,17,7.7,131,0,0
146,Gabriel Davis\DaviGa01,BUF,21,wr,4,1,8,8,129,16.1,2,5,39,2.0,32.3,100.0%,16.1,1,0,0,0,0,0.0,0.0,0.3,9,14.3,129,2,0
147,Zach Pascal\PascZa00,IND,26,wr,4,4,19,10,129,12.9,1,6,36,2.5,32.3,52.6%,6.8,,,,0,,,,,10,12.9,129,1,0
148,Giovani Bernard\BernGi00,CIN,29,,4,0,15,12,98,8.2,0,4,42,3.0,24.5,80.0%,6.5,4,29,0,3,11,7.3,7.3,1.0,16,7.9,127,0,0
149,Cordarrelle Patterson\PattCo00,CHI,29,wr,5,1,8,7,58,8.3,0,3,25,1.4,11.6,87.5%,7.3,21,69,0,5,13,3.3,13.8,4.2,28,4.5,127,0,0
150,Jalen Guyton\GuytJa01,LAC,23,wr,4,3,7,5,125,25.0,2,4,72,1.3,31.3,71.4%,17.9,,,,0,,,,,5,25.0,125,2,0
151,Benny Snell Jr.\SnelBe00,PIT,22,,3,0,2,1,-4,-4.0,0,0,0,0.3,-1.3,50.0%,-2.0,29,129,0,5,30,4.4,43.0,9.7,30,4.2,125,0,2
152,Braxton Berrios\BerrBr00,NYJ,25,wr,4,1,15,10,123,12.3,2,6,30,2.5,30.8,66.7%,8.2,,,,0,,,,,10,12.3,123,2,0
153,DeSean Jackson\JackDe00,PHI,34,wr,3,3,20,10,121,12.1,0,7,27,3.3,40.3,50.0%,6.1,,,,0,,,,,10,12.1,121,0,0
154,Greg Olsen\OlseGr00,SEA,35,te,4,3,18,14,120,8.6,1,9,21,3.5,30.0,77.8%,6.7,,,,0,,,,,14,8.6,120,1,0
155,Kenny Golladay\GollKe00,DET,27,wr,2,2,15,10,119,11.9,2,8,19,5.0,59.5,66.7%,7.9,,,,0,,,,,10,11.9,119,2,0
156,A.J. Green\GreeA.00,CIN,32,wr,4,3,33,14,119,8.5,0,8,15,3.5,29.8,42.4%,3.6,,,,0,,,,,14,8.5,119,0,0
157,Nelson Agholor\AghoNe00,LVR,27,wr,4,1,9,8,118,14.8,2,8,23,2.0,29.5,88.9%,13.1,,,,0,,,,,8,14.8,118,2,0
158,Sam Darnold\DarnSa00,NYJ,23,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,14,117,1,5,46,8.4,29.3,3.5,14,8.4,117,1,0
159,Willie Snead\SneaWi00,BAL,28,wr,4,3,10,10,117,11.7,1,6,22,2.5,29.3,100.0%,11.7,,,,0,,,,,10,11.7,117,1,0
160,Jordan Wilkins\WilkJo01,IND,26,,4,0,2,2,22,11.0,0,1,16,0.5,5.5,100.0%,11.0,27,94,0,5,22,3.5,23.5,6.8,29,4.0,116,0,0
161,Tarik Cohen\CoheTa00,CHI,25,,3,0,9,6,41,6.8,0,1,20,2.0,13.7,66.7%,4.6,14,74,0,3,17,5.3,24.7,4.7,20,5.8,115,0,0
162,Ryan Fitzpatrick\FitzRy00,MIA,38,qb,4,4,1,1,0,0.0,0,0,0,0.3,0.0,100.0%,0.0,21,115,2,9,14,5.5,28.8,5.3,22,5.2,115,2,1
163,Kalif Raymond\RaymKa00,TEN,26,wr,3,1,5,3,118,39.3,0,3,61,1.0,39.3,60.0%,23.6,1,-3,0,0,-3,-3.0,-1.0,0.3,4,28.8,115,0,0
164,Jared Cook\CookJa02,NOR,33,te,3,1,15,9,114,12.7,1,6,46,3.0,38.0,60.0%,7.6,,,,0,,,,,9,12.7,114,1,0
165,Matt Breida\BreiMa00,MIA,25,,4,0,5,4,41,10.3,0,2,26,1.0,10.3,80.0%,8.2,18,72,0,3,11,4.0,18.0,4.5,22,5.1,113,0,1
166,Eric Ebron\EbroEr00,PIT,27,te,3,2,14,9,113,12.6,1,6,21,3.0,37.7,64.3%,8.1,,,,0,,,,,9,12.6,113,1,0
167,Miles Boykin\BoykMi00,BAL,24,wr,4,3,15,10,111,11.1,0,5,25,2.5,27.8,66.7%,7.4,,,,0,,,,,10,11.1,111,0,0
168,Jakeem Grant\GranJa00,MIA,28,,4,0,10,8,82,10.3,0,6,19,2.0,20.5,80.0%,8.2,1,29,0,1,29,29.0,7.3,0.3,9,12.3,111,0,0
169,Andy Isabella\IsabAn00,ARI,24,,4,0,10,8,117,14.6,2,5,54,2.0,29.3,80.0%,11.7,1,-6,0,0,-6,-6.0,-1.5,0.3,9,12.3,111,2,0
170,Carson Wentz\WentCa00,PHI,28,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,19,111,3,12,24,5.8,27.8,4.8,19,5.8,111,3,4
171,James White\WhitJa02,NWE,28,,2,0,11,10,68,6.8,0,4,15,5.0,34.0,90.9%,6.2,8,43,0,3,10,5.4,21.5,4.0,18,6.2,111,0,0
172,Patrick Mahomes\MahoPa00,KAN,25,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,18,108,1,7,21,6.0,27.0,4.5,18,6.0,108,1,0
173,Dontrelle Inman\InmaDo00,WAS,31,wr,4,2,21,11,105,9.5,2,7,17,2.8,26.3,52.4%,5.0,,,,0,,,,,11,9.5,105,2,1
174,Isaiah McKenzie\McKeIs00,BUF,25,wr,4,2,8,7,88,12.6,0,4,46,1.8,22.0,87.5%,11.0,3,15,0,1,14,5.0,3.8,0.8,10,10.3,103,0,0
175,Boston Scott\ScotBo02,PHI,25,rb,4,1,6,5,43,8.6,0,1,12,1.3,10.8,83.3%,7.2,18,60,0,3,13,3.3,15.0,4.5,23,4.5,103,0,0
176,Steven Sims\SimsSt00,WAS,23,wr,3,2,8,6,103,17.2,0,6,30,2.0,34.3,75.0%,12.9,,,,0,,,,,6,17.2,103,0,2
177,Golden Tate\TateGo00,NYG,32,wr,3,2,18,14,103,7.4,0,6,20,4.7,34.3,77.8%,5.7,,,,0,,,,,14,7.4,103,0,0
178,Logan Thomas\ThomLo00,WAS,29,te,4,3,28,13,102,7.8,1,8,19,3.3,25.5,46.4%,3.6,,,,0,,,,,13,7.8,102,1,0
179,Damien Harris\HarrDa06,NWE,23,rb,1,1,0,0,0,,0,0,0,0.0,0.0,0.0%,,17,100,0,2,41,5.9,100.0,17.0,17,5.9,100,0,0
180,D'Ernest Johnson\JohnDE04,CLE,24,,4,0,0,0,0,,0,0,0,0.0,0.0,0.0%,,14,100,0,5,28,7.1,25.0,3.5,14,7.1,100,0,0
181,Drew Sample\SampDr00,CIN,24,te,4,1,16,12,100,8.3,0,5,23,3.0,25.0,75.0%,6.3,,,,0,,,,,12,8.3,100,0,0
182,Mike Williams\WillMi07,LAC,26,wr,3,2,14,7,100,14.3,0,4,37,2.3,33.3,50.0%,7.1,,,,0,,,,,7,14.3,100,0,0
183,Bryan Edwards\EdwaBr01,LVR,22,wr,3,3,6,5,99,19.8,0,4,34,1.7,33.0,83.3%,16.5,,,,0,,,,,5,19.8,99,0,0
184,Chris Hogan\HogaCh00,NYJ,33,wr,4,3,23,11,98,8.9,0,5,27,2.8,24.5,47.8%,4.3,,,,0,,,,,11,8.9,98,0,0
185,Dan Arnold\ArnoDa00,ARI,25,te,4,3,12,9,97,10.8,0,5,25,2.3,24.3,75.0%,8.1,,,,0,,,,,9,10.8,97,0,1
186,Quintez Cephus\CephQu00,DET,22,wr,4,1,13,6,97,16.2,0,4,36,1.5,24.3,46.2%,7.5,,,,0,,,,,6,16.2,97,0,0
187,Austin Hooper\HoopAu00,CLE,26,te,4,4,17,12,96,8.0,1,7,12,3.0,24.0,70.6%,5.6,,,,0,,,,,12,8.0,96,1,0
188,Jalen Reagor\ReagJa00,PHI,21,wr,2,2,8,5,96,19.2,0,3,55,2.5,48.0,62.5%,12.0,,,,0,,,,,5,19.2,96,0,1
189,James O'Shaughnessy\O'ShJa00,JAX,28,te,4,4,11,9,95,10.6,0,5,26,2.3,23.8,81.8%,8.6,,,,0,,,,,9,10.6,95,0,0
190,Russell Wilson\WilsRu00,SEA,32,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,18,95,0,7,28,5.3,23.8,4.5,18,5.3,95,0,1
191,Saquon Barkley\BarkSa00,NYG,23,rb,2,2,9,6,60,10.0,0,3,38,3.0,30.0,66.7%,6.7,19,34,0,1,18,1.8,17.0,9.5,25,3.8,94,0,0
192,Justin Watson\WatsJu01,TAM,25,wr,3,2,11,7,94,13.4,0,5,36,2.3,31.3,63.6%,8.5,,,,0,,,,,7,13.4,94,0,0
193,James Washington\WashJa00,PIT,24,wr,3,1,15,10,92,9.2,1,6,21,3.3,30.7,66.7%,6.1,,,,0,,,,,10,9.2,92,1,0
194,Jeff Wilson\WilsJe01,SFO,25,,4,0,4,4,67,16.8,1,4,19,1.0,16.8,100.0%,16.8,17,24,1,2,4,1.4,6.0,4.3,21,4.3,91,2,0
195,Kenny Stills\StilKe00,HOU,28,,4,0,13,7,90,12.9,1,4,24,1.8,22.5,53.8%,6.9,,,,0,,,,,7,12.9,90,1,0
196,Preston Williams\WillPr01,MIA,23,wr,4,3,17,6,89,14.8,1,5,26,1.5,22.3,35.3%,5.2,,,,0,,,,,6,14.8,89,1,0
197,Devontae Booker\BookDe00,LVR,28,,4,0,4,4,29,7.3,0,1,14,1.0,7.3,100.0%,7.3,10,59,0,3,23,5.9,14.8,2.5,14,6.3,88,0,1
198,Larry Fitzgerald\FitzLa00,ARI,37,wr,4,4,18,14,88,6.3,0,6,12,3.5,22.0,77.8%,4.9,,,,0,,,,,14,6.3,88,0,0
199,Kerryon Johnson\JohnKe06,DET,23,rb,4,2,3,2,17,8.5,0,1,14,0.5,4.3,66.7%,5.7,21,71,1,4,9,3.4,17.8,5.3,23,3.8,88,1,0
200,Reggie Bonnafon\BonnRe00,CAR,24,,2,0,2,2,18,9.0,1,2,15,1.0,9.0,100.0%,9.0,12,69,0,4,22,5.8,34.5,6.0,14,6.2,87,1,0
201,Parris Campbell\CampPa00,IND,23,wr,2,2,9,6,71,11.8,0,4,21,3.0,35.5,66.7%,7.9,2,16,0,2,9,8.0,8.0,1.0,8,10.9,87,0,0
202,Mitchell Trubisky\TrubMi00,CHI,26,qb,3,3,0,0,0,,0,0,0,0.0,0.0,0.0%,,8,87,0,3,45,10.9,29.0,2.7,8,10.9,87,0,1
203,C.J. Uzomah\UzomC.00,CIN,27,te,2,2,11,8,87,10.9,1,6,23,4.0,43.5,72.7%,7.9,,,,0,,,,,8,10.9,87,1,0
204,Dak Prescott\PresDa01,DAL,27,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,16,86,3,8,12,5.4,21.5,4.0,16,5.4,86,3,3
205,KJ Hamler\HamlKJ00,DEN,21,wr,3,2,12,6,78,13.0,0,3,18,2.0,26.0,50.0%,6.5,2,7,0,0,9,3.5,2.3,0.7,8,10.6,85,0,0
206,Deonte Harris\HarrDe07,NOR,23,wr,4,2,11,7,55,7.9,0,4,17,1.8,13.8,63.6%,5.0,4,30,0,1,11,7.5,7.5,1.0,11,7.7,85,0,1
207,Dion Lewis\LewiDi00,NYG,30,,4,0,12,7,54,7.7,0,4,15,1.8,13.5,58.3%,4.5,13,31,1,3,10,2.4,7.8,3.3,20,4.3,85,1,0
208,Jordan Reed\ReedJo02,SFO,30,,3,0,16,11,85,7.7,2,6,18,3.7,28.3,68.8%,5.3,,,,0,,,,,11,7.7,85,2,0
209,Josh Allen\AlleJo02,BUF,24,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,25,83,3,9,16,3.3,20.8,6.3,25,3.3,83,3,3
210,Carlos Hyde\HydeCa00,SEA,30,,3,0,3,3,26,8.7,0,1,11,1.0,8.7,100.0%,8.7,16,57,1,5,9,3.6,19.0,5.3,19,4.4,83,1,0
211,Freddie Swain\SwaiFr00,SEA,22,,4,0,6,5,83,16.6,1,3,23,1.3,20.8,83.3%,13.8,,,,0,,,,,5,16.6,83,1,0
212,Sterling Shepard\ShepSt00,NYG,27,wr,2,2,10,8,76,9.5,0,4,24,4.0,38.0,80.0%,7.6,1,6,0,0,6,6.0,3.0,0.5,9,9.1,82,0,0
213,Jeff Smith\SmitJe03,NYJ,23,wr,1,1,9,7,81,11.6,0,4,21,7.0,81.0,77.8%,9.0,,,,0,,,,,7,11.6,81,0,0
214,Kalen Ballage\BallKa00,NYJ,25,,3,0,10,9,67,7.4,0,1,21,3.0,22.3,90.0%,6.7,3,13,0,1,5,4.3,4.3,1.0,12,6.7,80,0,0
215,Noah Brown\BrowNo00,DAL,24,,4,0,8,7,80,11.4,0,1,20,1.8,20.0,87.5%,10.0,,,,0,,,,,7,11.4,80,0,0
216,Olabisi Johnson\JohnOl00,MIN,23,wr,4,2,8,4,80,20.0,0,3,29,1.0,20.0,50.0%,10.0,,,,0,,,,,4,20.0,80,0,0
217,Royce Freeman\FreeRo00,DEN,24,,4,0,5,5,49,9.8,0,3,28,1.3,12.3,100.0%,9.8,9,30,0,1,13,3.3,7.5,2.3,14,5.6,79,0,0
218,Zay Jones\JoneZa00,LVR,25,wr,4,1,10,8,79,9.9,1,4,16,2.0,19.8,80.0%,7.9,,,,0,,,,,8,9.9,79,1,0
219,Christian Kirk\KirkCh01,ARI,24,wr,3,3,14,6,76,12.7,1,3,49,2.0,25.3,42.9%,5.4,1,3,0,1,3,3.0,1.0,0.3,7,11.3,79,1,0
220,Jalen Richard\RichJa01,LVR,27,,4,0,8,6,33,5.5,0,0,15,1.5,8.3,75.0%,4.1,4,46,1,3,20,11.5,11.5,1.0,10,7.9,79,1,0
221,Devonta Freeman\FreeDe00,NYG,28,rb,2,1,4,4,35,8.8,0,2,15,2.0,17.5,100.0%,8.8,16,43,0,3,10,2.7,21.5,8.0,20,3.9,78,0,0
222,Dawson Knox\KnoxDa00,BUF,24,te,3,2,9,5,78,15.6,0,1,36,1.7,26.0,55.6%,8.7,,,,0,,,,,5,15.6,78,0,1
223,Tyler Eifert\EifeTy00,JAX,30,te,4,2,16,8,77,9.6,1,4,19,2.0,19.3,50.0%,4.8,,,,0,,,,,8,9.6,77,1,0
224,Joe Burrow\BurrJo01,CIN,24,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,20,75,1,6,23,3.8,18.8,5.0,20,3.8,75,1,3
225,Van Jefferson\JeffVa00,LAR,24,,4,0,10,5,76,15.2,0,3,31,1.3,19.0,50.0%,7.6,1,-1,0,0,-1,-1.0,-0.3,0.3,6,12.5,75,0,1
226,Chris Herndon\HernCh00,NYJ,24,te,4,4,19,11,74,6.7,0,4,18,2.8,18.5,57.9%,3.9,,,,0,,,,,11,6.7,74,0,1
227,Kyle Juszczyk\JuszKy00,SFO,29,fb,4,4,7,5,67,13.4,0,2,41,1.3,16.8,71.4%,9.6,1,7,0,1,7,7.0,1.8,0.3,6,12.3,74,0,0
228,J.J. Taylor\TaylJJ01,NWE,22,,3,0,2,1,4,4.0,0,0,4,0.3,1.3,50.0%,2.0,16,70,0,4,11,4.4,23.3,5.3,17,4.4,74,0,0
229,Wayne Gallman\GallWa00,NYG,26,rb,3,1,4,3,21,7.0,0,0,14,1.0,7.0,75.0%,5.3,10,52,0,1,26,5.2,17.3,3.3,13,5.6,73,0,0
230,Michael Pittman Jr.\PittMi01,IND,23,wr,3,1,12,9,73,8.1,0,4,16,3.0,24.3,75.0%,6.1,,,,0,,,,,9,8.1,73,0,0
231,Chris Thompson\ThomCh03,JAX,30,,4,0,12,10,61,6.1,1,1,14,2.5,15.3,83.3%,5.1,4,10,0,1,5,2.5,2.5,1.0,14,5.1,71,1,0
232,Teddy Bridgewater\BridTe00,CAR,28,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,12,70,1,3,18,5.8,17.5,3.0,12,5.8,70,1,1
233,Henry Ruggs III\RuggHe00,LVR,21,wr,2,2,8,4,59,14.8,0,2,45,2.0,29.5,50.0%,7.4,2,11,0,0,7,5.5,5.5,1.0,6,11.7,70,0,0
234,Tyler Ervin\ErviTy00,GNB,27,,4,0,6,5,26,5.2,0,2,8,1.3,6.5,83.3%,4.3,4,43,0,2,21,10.8,10.8,1.0,9,7.7,69,0,0
235,Gardner Minshew II\MinsGa00,JAX,24,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,14,69,0,3,16,4.9,17.3,3.5,14,4.9,69,0,2
236,Tony Pollard\PollTo00,DAL,23,rb,4,1,7,5,36,7.2,0,2,18,1.3,9.0,71.4%,5.1,7,32,1,2,8,4.6,8.0,1.8,12,5.7,68,1,0
237,Kyle Rudolph\RudoKy00,MIN,31,te,4,4,8,6,66,11.0,1,3,22,1.5,16.5,75.0%,8.3,,,,0,,,,,6,11.0,66,1,0
238,Courtland Sutton\SuttCo00,DEN,25,wr,1,1,6,3,66,22.0,0,2,45,3.0,66.0,50.0%,11.0,,,,0,,,,,3,22.0,66,0,0
239,Tevin Coleman\ColeTe01,SFO,27,,2,0,4,3,34,11.3,0,2,18,1.5,17.0,75.0%,8.5,18,30,0,1,10,1.7,15.0,9.0,21,3.0,64,0,0
240,Foster Moreau\MoreFo00,LVR,23,te,4,1,4,4,64,16.0,1,3,31,1.0,16.0,100.0%,16.0,,,,0,,,,,4,16.0,64,1,0
241,Zack Moss\MossZa00,BUF,23,,2,0,4,3,16,5.3,1,1,8,1.5,8.0,75.0%,4.0,17,48,0,2,14,2.8,24.0,8.5,20,3.2,64,1,0
242,Darren Fells\FellDa01,HOU,34,te,4,4,10,6,63,10.5,1,4,14,1.5,15.8,60.0%,6.3,,,,0,,,,,6,10.5,63,1,0
243,Damion Ratley\RatlDa00,NYG,25,,4,0,9,4,63,15.8,0,2,29,1.0,15.8,44.4%,7.0,,,,0,,,,,4,15.8,63,0,1
244,Mike Thomas\ThomMi04,CIN,26,,4,0,10,9,62,6.9,1,4,14,2.3,15.5,90.0%,6.2,,,,0,,,,,9,6.9,62,1,0
245,C.J. Board\BoarC.00,NYG,27,wr,4,2,8,6,58,9.7,0,3,12,1.5,14.5,75.0%,7.3,1,3,0,0,3,3.0,0.8,0.3,7,8.7,61,0,0
246,Jack Doyle\DoylJa00,IND,30,te,3,3,5,4,61,15.3,0,3,28,1.3,20.3,80.0%,12.2,,,,0,,,,,4,15.3,61,0,0
247,Tyler Johnson\JohnTy00,TAM,22,wr,3,1,6,4,61,15.3,0,2,35,1.3,20.3,66.7%,10.2,,,,0,,,,,4,15.3,61,0,0
248,Harrison Bryant\BryaHa00,CLE,22,te,4,2,10,7,59,8.4,1,4,16,1.8,14.8,70.0%,5.9,,,,0,,,,,7,8.4,59,1,0
249,Jesse James\JameJe00,DET,26,te,4,2,6,4,59,14.8,1,3,31,1.0,14.8,66.7%,9.8,,,,0,,,,,4,14.8,59,1,0
250,Duke Johnson\JohnDu00,HOU,27,,2,0,5,3,21,7.0,0,1,15,1.5,10.5,60.0%,4.2,10,38,0,1,8,3.8,19.0,5.0,13,4.5,59,0,0
251,Isaiah Wright\WrigIs01,WAS,23,wr,3,2,11,8,44,5.5,0,2,11,2.7,14.7,72.7%,4.0,2,15,0,0,9,7.5,5.0,0.7,10,5.9,59,0,0
252,Blake Bell\BellBl00,DAL,29,,4,0,6,4,58,14.5,0,3,24,1.0,14.5,66.7%,9.7,,,,0,,,,,4,14.5,58,0,0
253,Deshaun Watson\WatsDe00,HOU,25,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,17,58,1,5,13,3.4,14.5,4.3,17,3.4,58,1,2
254,Travis Fulgham\FulgTr00,PHI,25,wr,1,1,3,2,57,28.5,1,2,42,2.0,57.0,66.7%,19.0,,,,0,,,,,2,28.5,57,1,0
255,Cam Akers\AkerCa00,LAR,21,rb,2,2,1,1,4,4.0,0,0,4,0.5,2.0,100.0%,4.0,17,52,0,0,6,3.1,26.0,8.5,18,3.1,56,0,0
256,Taysom Hill\HillTa00,NOR,30,qb,4,2,3,3,23,7.7,0,1,14,0.8,5.8,100.0%,7.7,10,33,0,1,13,3.3,8.3,2.5,13,4.3,56,0,2
257,Marlon Mack\MackMa00,IND,24,rb,1,1,3,3,30,10.0,0,1,19,3.0,30.0,100.0%,10.0,4,26,0,2,18,6.5,26.0,4.0,7,8.0,56,0,0
258,La'Mical Perine\PeriLa00,NYJ,22,,3,0,2,2,-1,-0.5,0,0,3,0.7,-0.3,100.0%,-0.5,15,56,0,2,11,3.7,18.7,5.0,17,3.2,55,0,0
259,Ross Dwelley\DwelRo00,SFO,25,te,4,2,5,5,54,10.8,0,3,20,1.3,13.5,100.0%,10.8,,,,0,,,,,5,10.8,54,0,0
260,Kirk Cousins\CousKi00,MIN,32,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,10,53,0,5,16,5.3,13.3,2.5,10,5.3,53,0,0
261,Gerald Everett\EverGe00,LAR,26,te,4,2,5,4,51,12.8,0,2,18,1.0,12.8,80.0%,10.2,1,2,1,1,2,2.0,0.5,0.3,5,10.6,53,1,1
262,Tyron Johnson\JohnTy03,LAC,24,,1,0,1,1,53,53.0,1,1,53,1.0,53.0,100.0%,53.0,,,,0,,,,,1,53.0,53,1,0
263,LeSean McCoy\McCoLe01,TAM,32,,4,0,13,9,55,6.1,0,2,15,2.3,13.8,69.2%,4.2,2,-2,0,0,3,-1.0,-0.5,0.5,11,4.8,53,0,0
264,Ito Smith\SmitIt00,ATL,25,,4,0,8,6,26,4.3,0,1,11,1.5,6.5,75.0%,3.3,8,27,0,0,9,3.4,6.8,2.0,14,3.8,53,0,0
265,KhaDarel Hodge\HodgKh00,CLE,25,,3,0,6,3,51,17.0,0,3,26,1.0,17.0,50.0%,8.5,,,,0,,,,,3,17.0,51,0,0
266,Travis Homer\HomeTr00,SEA,22,,4,0,4,3,7,2.3,1,1,3,0.8,1.8,75.0%,1.8,12,44,0,0,12,3.7,11.0,3.0,15,3.4,51,1,0
267,Darrel Williams\WillDa10,KAN,25,,4,0,6,5,20,4.0,0,3,12,1.3,5.0,83.3%,3.3,10,31,0,3,7,3.1,7.8,2.5,15,3.4,51,0,0
268,Anthony Firkser\FirkAn00,TEN,25,,3,0,6,6,50,8.3,0,4,16,2.0,16.7,100.0%,8.3,,,,0,,,,,6,8.3,50,0,0
269,Marvin Hall\HallMa02,DET,27,wr,4,1,5,2,50,25.0,1,2,26,0.5,12.5,40.0%,10.0,,,,0,,,,,2,25.0,50,1,0
270,David Njoku\NjokDa00,CLE,24,,1,0,3,3,50,16.7,1,3,28,3.0,50.0,100.0%,16.7,,,,0,,,,,3,16.7,50,1,0
271,Richard Rodgers\RodgRi00,PHI,28,te,4,1,6,5,50,10.0,0,2,23,1.3,12.5,83.3%,8.3,,,,0,,,,,5,10.0,50,0,0
272,Anthony McFarland Jr.\McFaAn00,PIT,21,,1,0,2,1,7,7.0,0,0,7,1.0,7.0,50.0%,3.5,6,42,0,2,20,7.0,42.0,6.0,7,7.0,49,0,0
273,Demarcus Robinson\RobiDe01,KAN,26,wr,4,1,11,6,48,8.0,0,4,14,1.5,12.0,54.5%,4.4,,,,0,,,,,6,8.0,48,0,0
274,Christian Blake\BlakCh00,ATL,24,,4,0,5,3,47,15.7,0,3,21,0.8,11.8,60.0%,9.4,,,,0,,,,,3,15.7,47,0,0
275,Cameron Brate\BratCa00,TAM,29,,5,0,8,6,47,7.8,1,3,20,1.2,9.4,75.0%,5.9,,,,0,,,,,6,7.8,47,1,0
276,Justin Herbert\HerbJu00,LAC,22,qb,3,3,0,0,0,,0,0,0,0.0,0.0,0.0%,,12,47,1,6,11,3.9,15.7,4.0,12,3.9,47,1,2
277,Le'Veon Bell\BellLe00,NYJ,28,rb,1,1,2,2,32,16.0,0,1,30,2.0,32.0,100.0%,16.0,6,14,0,1,7,2.3,14.0,6.0,8,5.8,46,0,0
278,Deebo Samuel\SamuDe00,SFO,24,,1,0,3,3,35,11.7,0,2,17,3.0,35.0,100.0%,11.7,1,10,0,1,10,10.0,10.0,1.0,4,11.3,45,0,0
279,Matthew Stafford\StafMa00,DET,32,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,10,45,0,3,13,4.5,11.3,2.5,10,4.5,45,0,0
280,Alec Ingold\IngoAl01,LVR,24,,4,0,5,5,45,9.0,1,4,17,1.3,11.3,100.0%,9.0,1,-1,0,0,-1,-1.0,-0.3,0.3,6,7.3,44,1,0
281,Ryan Izzo\IzzoRy00,NWE,25,te,4,4,8,3,44,14.7,0,2,25,0.8,11.0,37.5%,5.5,,,,0,,,,,3,14.7,44,0,0
282,Auden Tate\TateAu00,CIN,23,wr,3,1,5,3,44,14.7,0,3,19,1.0,14.7,60.0%,8.8,,,,0,,,,,3,14.7,44,0,0
283,Devin Duvernay\DuveDe00,BAL,23,,4,0,7,5,42,8.4,0,2,19,1.3,10.5,71.4%,6.0,,,,0,,,,,5,8.4,42,0,0
284,Peyton Barber\BarbPe01,WAS,26,,4,0,1,0,0,,0,0,0,0.0,0.0,0.0%,0.0,24,41,2,4,8,1.7,10.3,6.0,24,1.7,41,2,0
285,Vance McDonald\McDoVa00,PIT,30,te,3,3,7,5,41,8.2,0,2,15,1.7,13.7,71.4%,5.9,,,,0,,,,,5,8.2,41,0,0
286,Ted Ginn Jr.\GinnTe00,CHI,35,,4,0,6,3,40,13.3,0,1,29,0.8,10.0,50.0%,6.7,,,,0,,,,,3,13.3,40,0,0
287,A.J. Brown\BrowAJ00,TEN,23,wr,1,1,8,5,39,7.8,0,3,12,5.0,39.0,62.5%,4.9,,,,0,,,,,5,7.8,39,0,0
288,John Hightower\HighJo00,PHI,24,wr,4,2,9,5,39,7.8,0,3,13,1.3,9.8,55.6%,4.3,,,,0,,,,,5,7.8,39,0,0
289,Kaden Smith\SmitKa00,NYG,23,te,4,3,8,6,39,6.5,0,3,13,1.5,9.8,75.0%,4.9,,,,0,,,,,6,6.5,39,0,1
290,Cameron Batson\BatsCa00,TEN,25,,2,1,2,2,26,13.0,0,1,18,1.0,13.0,100.0%,13.0,1,11,0,1,11,11.0,5.5,0.5,3,12.3,37,0,0
291,Will Dissly\DissWi00,SEA,24,te,4,2,7,7,37,5.3,0,1,14,1.8,9.3,100.0%,5.3,,,,0,,,,,7,5.3,37,0,0
292,Durham Smythe\SmytDu00,MIA,25,te,4,3,3,3,37,12.3,0,2,18,0.8,9.3,100.0%,12.3,,,,0,,,,,3,12.3,37,0,0
293,Trent Taylor\TaylTr02,SFO,26,,4,0,10,5,37,7.4,0,2,20,1.3,9.3,50.0%,3.7,,,,0,,,,,5,7.4,37,0,0
294,Tyler Kroft\KrofTy00,BUF,28,te,4,1,8,5,36,7.2,2,4,13,1.3,9.0,62.5%,4.5,,,,0,,,,,5,7.2,36,2,0
295,Jace Sternberger\SterJa00,GNB,24,,4,0,5,3,36,12.0,0,2,23,0.8,9.0,60.0%,7.2,,,,0,,,,,3,12.0,36,0,0
296,Lawrence Cager\CageLa01,NYJ,23,,2,1,6,2,35,17.5,0,2,19,1.0,17.5,33.3%,5.8,,,,0,,,,,2,17.5,35,0,0
297,Phillip Lindsay\LindPh00,DEN,26,rb,1,1,1,1,11,11.0,0,1,11,1.0,11.0,100.0%,11.0,7,24,0,0,10,3.4,24.0,7.0,8,4.4,35,0,0
298,Ryan Tannehill\TannRy00,TEN,32,qb,3,3,1,1,0,0.0,0,0,0,0.3,0.0,100.0%,0.0,11,35,0,3,11,3.2,11.7,3.7,12,2.9,35,0,2
