,,,,,,20TH,50TH,80TH
PLAYER,POS,TEAM,OPP,SALARY,OWN%,FLOOR,MIDDLE,CEILING
Kendrick Bourne,WR,SF,PHI,"$4,600",%,1.05,5.87,12.47
Gabriel Davis,WR,BUF,LV,"$3,200",1.96%,1.03,6.13,12.47
Mo Alie-Cox,TE,IND,CHI,"$3,900",2.96%,1.8,6.62,12.24
Drew Sample,TE,CIN,JAX,"$3,500",2.52%,1.83,6.48,12.21
Royce Freeman,RB,DEN,NYJ,"$4,000",%,0.05,5.07,12.17
Adam Trautman,TE,NO,DET,"$2,500",6.36%,1.74,6.46,12.1
Isaiah Wright,WR,WAS,BAL,"$3,000",0.62%,1.21,5.75,12.07
Travis Homer,RB,SEA,MIA,"$4,000",0%,0,4.1,12.01
Chris Conley,WR,JAX,CIN,"$3,700",1.39%,0.65,5.29,11.86
Reggie Bonnafon,RB,CAR,ARI,"$4,000",0%,0,4.7,11.68
Boston Scott,RB,PHI,SF,"$4,000",%,0.29,5.17,11.66
Darnell Mooney,WR,CHI,IND,"$3,000",0.91%,1.14,5.57,11.59
Jalen Richard,RB,LV,BUF,"$4,300",0.55%,0.24,4.5,11.51
Dan Arnold,TE,ARI,CAR,"$2,700",2.16%,1.27,5.69,11.35
Kyle Rudolph,TE,MIN,HOU,"$3,300",1.61%,1.31,6.11,11.34
Wayne Gallman,RB,NYG,LA,"$4,500",0.64%,0.03,4.72,11.24
Irv Smith Jr.,TE,MIN,HOU,"$2,500",1.09%,1.16,5.47,11.09
Jordan Wilkins,RB,IND,CHI,"$4,000",0.34%,0.29,4.12,11.05
Khadarel Hodge,WR,CLE,DAL,"$3,200",0.48%,0.72,5.04,11
David Moore,WR,SEA,MIA,"$3,400",1.80%,0.47,5.17,11
Tyler Eifert,TE,JAX,CIN,"$3,500",2.16%,1,5.73,10.85
Gus Edwards,RB,BAL,WAS,"$4,000",1.37%,0.95,4.24,10.66
Tyler Ervin,RB,GB,ATL,"$4,000",%,0.13,3.65,10.6
Deontay Burnett,WR,PHI,SF,"$3,000",%,0.45,4.68,10.49
Matt Breida,RB,MIA,SEA,"$4,000",0.67%,0,3.99,10.4
Cedrick Wilson,WR,DAL,CLE,"$3,200",0.77%,0.32,4.5,10.39
Tony Pollard,RB,DAL,CLE,"$4,100",1.38%,0,3.85,10.36
Harrison Bryant,TE,CLE,DAL,"$2,500",0.87%,0.69,4.78,10.35
Jack Doyle,TE,IND,CHI,"$3,500",1.11%,0.71,4.72,10.34
Darren Fells,TE,HOU,MIN,"$3,200",1.03%,0.7,5,10.33
Zay Jones,WR,LV,BUF,"$3,000",0.67%,0.18,4.56,10.14
Seth Roberts,WR,CAR,ARI,"$3,000",0%,0.2,4.06,10.01
Ian Thomas,TE,CAR,ARI,"$3,000",0.87%,0.48,4.72,9.98
Kyle Juszczyk,RB,SF,PHI,"$4,000",%,0.01,3.27,9.86
Josh Malone,WR,NYJ,DEN,"$3,000",%,0.11,3.97,9.81
Nick Boyle,TE,BAL,WAS,"$2,800",1.29%,0.41,4.22,9.72
Auden Tate,WR,CIN,JAX,"$3,000",0.66%,0.03,3.83,9.64
Kaden Smith,TE,NYG,LA,"$2,800",0.56%,0.78,4.62,9.54
James OShaughnessy,TE,JAX,CIN,"$3,100",1.03%,0.24,4.09,9.48
Jakeem Grant,WR,MIA,SEA,"$3,000",0.67%,0,3.43,9.19
Richard Rodgers,TE,PHI,SF,"$2,500",%,0.48,4.14,9.04
Darrius Shepherd,WR,GB,ATL,"$3,000",%,0,3.15,8.91
Dawson Knox,TE,BUF,LV,"$3,500",0.56%,0.31,3.95,8.82
Devin Duvernay,WR,BAL,WAS,"$3,300",0.50%,0,3.17,8.78
Taysom Hill,TE,NO,DET,"$4,100",%,0.75,4.14,8.76
Foster Moreau,TE,LV,BUF,"$2,500",0.56%,0,3.53,8.74
Gerald Everett,TE,LA,NYG,"$2,500",1.03%,0.24,4.05,8.69
Jace Sternberger,TE,GB,ATL,"$3,000",%,0.08,3.55,8.17
Will Dissly,TE,SEA,MIA,"$2,500",0.44%,0.16,3.51,8.16
Josh Hill,TE,NO,DET,"$2,500",1.03%,0,3.19,7.93
